date,time,call_rate,chucks,midges,swatcount,males_lessthan1m,males_morethan1m
11-Jul-10,114,0.44,78,43,41,4,3
11-Jul-10,98,0.51,144,4,0,3,2
12-Jul-10,164,0.3,101,65,76,2,1
12-Jul-10,132,0.38,49,27,16,2,1
13-Jul-10,118,0.42,27,1,1,1,1
13-Jul-10,104,0.48,115,41,38,3,2
14-Jul-10,165,0.3,66,0,0,4,3
15-Jul-10,111,0.45,91,0,0,3,2
19-Jul-10,149,0.34,58,42,39,4,3
21-Jul-10,165,0.3,0,23,19,4,3
21-Jul-10,95,0.53,47,25,28,3,2
21-Jul-10,115,0.43,50,57,43,2,1
21-Jul-10,112,0.45,72,18,14,4,3
21-Jul-10,84,0.6,70,45,30,2,1
21-Jul-10,110,0.45,89,74,35,2,1
23-Jul-10,95,0.53,50,29,14,4,3
23-Jul-10,80,0.63,144,7,1,1,1
23-Jul-10,103,0.49,125,36,33,1,1
24-Jul-10,100,0.5,129,9,5,2,1
24-Jul-10,146,0.34,122,1,0,4,3
24-Jul-10,100,0.5,142,15,7,2,1
24-Jul-10,123,0.41,146,0,0,2,1
25-Jul-10,128,0.39,0,70,56,0,0
26-Jul-10,140,0.36,2,0,0,1,1
26-Jul-10,119,0.42,13,24,18,0,0
1-Aug-10,112,0.45,49,0,0,3,2
1-Aug-10,136,0.37,125,0,0,4,3
2-Aug-10,93,0.54,25,32,27,0,0
2-Aug-10,144,0.35,4,13,18,3,2
2-Aug-10,91,0.55,130,48,24,3,2
2-Aug-10,210,0.24,0,30,29,0,0
2-Aug-10,118,0.42,49,40,45,2,1
19-Jul-12,132,0.38,49,64,40,3,2
19-Jul-12,106,0.47,24,34,28,3,2
19-Jul-12,132,0.38,100,24,24,4,3
20-Jul-12,102,0.49,62,44,35,4,3
20-Jul-12,101,0.5,84,47,32,3,2
22-Jul-12,187,0.27,0,35,60,3,2
22-Jul-12,105,0.48,31,27,16,2,2
23-Jul-12,194,0.26,93,21,29,3,2
23-Jul-12,99,0.51,100,53,13,4,3
24-Jul-12,163,0.31,5,66,44,4,3
24-Jul-12,134,0.37,0,45,83,3,2
24-Jul-12,195,0.26,0,153,32,2,2
24-Jul-12,380,0.13,0,24,16,2,2
24-Jul-12,175,0.29,0,134,48,1,1
25-Jul-12,322,0.16,14,105,90,2,2
26-Jul-12,129,0.39,96,44,27,4,3
26-Jul-12,83,0.6,97,62,12,4,3
26-Jul-12,86,0.58,82,24,11,4,3
26-Jul-12,183,0.27,64,128,44,4,3
26-Jul-12,92,0.54,99,30,23,4,3
26-Jul-12,100,0.5,77,41,21,4,3
27-Jul-12,98,0.51,100,13,10,4,3
27-Jul-12,162,0.31,85,72,50,4,3
29-Jul-12,99,0.51,94,13,6,4,3
29-Jul-12,135,0.37,90,61,22,4,3
29-Jul-12,92,0.54,68,18,32,4,3
31-Jul-12,104,0.48,93,74,20,4,3
31-Jul-12,93,0.54,52,67,22,4,3
31-Jul-12,115,0.43,65,141,38,4,3
3-Aug-12,93,0.54,93,49,57,4,3
3-Aug-12,133,0.38,0,87,50,4,3
3-Aug-12,125,0.4,45,28,65,4,3
3-Aug-12,131,0.38,95,48,44,4,3
3-Aug-12,179,0.28,47,151,66,3,2
3-Aug-12,119,0.42,25,20,36,4,3
5-Aug-12,87,0.57,100,16,8,4,3
5-Aug-12,158,0.32,100,40,16,4,3
5-Aug-12,86,0.58,100,25,11,4,3
6-Aug-12,94,0.53,91,85,31,4,3
6-Aug-12,99,0.51,100,49,39,4,3
6-Aug-12,108,0.46,100,48,19,4,3
6-Aug-12,91,0.55,100,7,0,4,3
6-Aug-12,95,0.53,60,20,14,4,3
7-Aug-12,130,0.38,93,8,4,4,3
7-Aug-12,100,0.5,100,45,15,4,3
7-Aug-12,105,0.48,99,70,8,4,3
7-Aug-12,87,0.57,94,8,5,4,3
7-Aug-12,95,0.53,100,23,17,4,3
8-Aug-12,149,0.34,68,57,27,4,3
8-Aug-12,138,0.36,89,54,33,4,3
8-Aug-12,114,0.44,92,0,2,4,3
9-Aug-12,156,0.32,51,22,40,3,2
9-Aug-12,152,0.33,18,18,64,2,2
